Date,Open,High,Low,Close,Adj Close,Volume
2/27/2018,4030,4030,3960,4020,3560.447266,81554100
2/28/2018,3970,4050,3970,4000,3542.733398,94528200
3/1/2018,4050,4090,4020,4060,3595.874512,84215600
3/2/2018,4060,4070,4030,4070,3604.731201,61410200
3/5/2018,4050,4060,4000,4020,3560.447266,56394900
3/6/2018,4050,4060,4020,4020,3560.447266,59010500
3/7/2018,4000,4040,3980,4000,3542.733398,100646000
3/8/2018,4050,4140,4020,4140,3666.729248,152547000
3/9/2018,4150,4160,4090,4150,3675.585938,97354700
3/12/2018,4170,4200,4130,4200,3719.870117,87344000
3/13/2018,4160,4180,4080,4090,3622.444824,96605900
3/14/2018,4070,4090,4040,4060,3595.874512,74296000
3/15/2018,4030,4040,3930,3930,3480.735352,133775500
3/16/2018,3930,3950,3820,3820,3383.310303,208216200
3/19/2018,3860,3900,3810,3820,3383.310303,111808000
3/20/2018,3800,3810,3640,3660,3241.601074,254154700
3/21/2018,3660,3720,3630,3710,3285.885254,152085900
3/22/2018,3720,3810,3690,3700,3277.02832,132850400
3/23/2018,3520,3690,3520,3660,3241.601074,104485500
3/26/2018,3600,3650,3580,3590,3179.603271,104993600
3/27/2018,3630,3650,3540,3560,3153.032715,106157400
3/28/2018,3570,3620,3540,3570,3161.889893,83907700
3/29/2018,3580,3600,3530,3600,3188.459961,106930200
3/30/2018,3600,3600,3600,3600,3188.459961,0
4/2/2018,3640,3680,3600,3670,3250.458008,63944000
4/3/2018,3640,3670,3620,3630,3215.030518,57234700
4/4/2018,3630,3660,3570,3600,3188.459961,80976000
4/5/2018,3650,3690,3650,3680,3259.314941,102973700
4/6/2018,3680,3690,3650,3650,3232.744141,62905500
4/9/2018,3630,3780,3630,3770,3339.026367,114947800
4/10/2018,3740,3880,3730,3860,3418.737793,138847700
4/11/2018,3850,3890,3850,3870,3427.594727,58454500
4/12/2018,3830,3860,3740,3750,3321.3125,76340800
4/13/2018,3760,3780,3630,3660,3241.601074,88313600
4/16/2018,3660,3660,3660,3660,3241.601074,0
4/17/2018,3660,3660,3660,3660,3241.601074,0
4/18/2018,3720,3770,3710,3770,3339.026367,65927000
4/19/2018,3770,3770,3770,3770,3339.026367,0
4/20/2018,3770,3770,3770,3770,3339.026367,0
4/23/2018,3720,3780,3720,3750,3321.3125,72362700
4/24/2018,3810,3830,3770,3830,3392.167236,81396500
4/25/2018,3830,3830,3830,3830,3392.167236,0
4/26/2018,3830,3830,3830,3830,3392.167236,0
4/27/2018,3830,3830,3830,3830,3392.167236,0
4/30/2018,3750,3870,3750,3830,3392.167236,95418200
5/1/2018,3830,3830,3830,3830,3392.167236,0
5/2/2018,3810,3880,3780,3870,3427.594727,118872100
5/3/2018,3850,3860,3740,3740,3312.455811,91601300
5/4/2018,3700,3750,3650,3730,3303.598877,80894300
5/7/2018,3750,3820,3730,3800,3365.596436,97351600
5/8/2018,3650,3670,3570,3620,3234.717529,107379900
5/9/2018,3600,3780,3530,3700,3306.203125,149687500
5/10/2018,3700,3700,3700,3700,3306.203125,0
5/11/2018,3700,3750,3620,3630,3243.65332,120995700
5/14/2018,3560,3610,3500,3540,3163.232178,161018200
5/15/2018,3520,3530,3350,3370,3011.325684,230994800
5/16/2018,3280,3530,3250,3480,3109.61792,205406800
5/17/2018,3510,3610,3490,3490,3118.553711,179026500
5/18/2018,3520,3530,3400,3490,3118.553711,75748600
5/21/2018,3490,3490,3410,3420,3056.003906,57210900
5/22/2018,3420,3500,3420,3470,3100.682617,78667200
5/23/2018,3460,3530,3450,3470,3100.682617,110630200
5/24/2018,3480,3590,3480,3560,3181.103516,84178300
5/25/2018,3540,3590,3530,3560,3181.103516,66374400
5/28/2018,3580,3700,3560,3690,3297.267334,90299200
5/29/2018,3690,3690,3690,3690,3297.267334,0
5/30/2018,3600,3730,3590,3600,3216.845947,148933500
5/31/2018,3600,3610,3500,3520,3145.36084,255204300
6/1/2018,3520,3520,3520,3520,3145.36084,0
6/4/2018,3540,3660,3530,3640,3252.589111,141754800
6/5/2018,3680,3860,3660,3830,3422.366943,181376800
6/6/2018,3790,3830,3760,3790,3386.624268,143554900
6/7/2018,3800,3830,3770,3770,3368.75293,122724300
6/8/2018,3710,3730,3600,3610,3225.781982,260396300
6/11/2018,3610,3610,3610,3610,3225.781982,0
6/12/2018,3610,3610,3610,3610,3225.781982,0
6/13/2018,3610,3610,3610,3610,3225.781982,0
6/14/2018,3610,3610,3610,3610,3225.781982,0
6/15/2018,3610,3610,3610,3610,3225.781982,0
6/18/2018,3610,3610,3610,3610,3225.781982,0
6/19/2018,3610,3610,3610,3610,3225.781982,0
6/20/2018,3540,3710,3510,3710,3315.138672,295386100
6/21/2018,3650,3700,3610,3610,3225.781982,123848500
6/22/2018,3610,3630,3540,3580,3198.974854,121490900
6/25/2018,3630,3690,3600,3660,3270.460449,97826600
6/26/2018,3600,3700,3600,3690,3297.267334,91252300
6/27/2018,3690,3780,3690,3710,3315.138672,106616500
6/28/2018,3700,3720,3660,3660,3270.460449,133779300
6/29/2018,3650,3750,3640,3750,3350.881348,79116600
7/2/2018,3800,3800,3710,3750,3350.881348,55810800
7/3/2018,3740,3740,3670,3700,3306.203125,79439500
7/4/2018,3700,3810,3630,3760,3359.817383,54884500
7/5/2018,3800,3830,3760,3830,3422.366943,59717900
7/6/2018,3850,3890,3830,3860,3449.174072,67655200
7/9/2018,3900,4000,3880,3980,3556.4021,68798500
7/10/2018,3990,4050,3960,4030,3601.080811,118127300
7/11/2018,4000,4080,3960,4060,3627.887695,144055300
7/12/2018,4050,4110,4040,4100,3663.630371,114531700
7/13/2018,4080,4100,3970,4020,3592.14502,120852800
7/16/2018,3970,4030,3860,3940,3520.659668,66229700
7/17/2018,3970,3970,3890,3940,3520.659668,53740400
7/18/2018,3910,4030,3890,4010,3583.209229,75157800
7/19/2018,4000,4000,3910,3910,3493.852295,65340900
7/20/2018,3900,3990,3890,3990,3565.337891,66456000
7/23/2018,4030,4090,4010,4060,3627.887695,74605900
7/24/2018,4090,4090,4030,4030,3601.080811,64353800
7/25/2018,4060,4060,3900,3900,3484.916748,55617500
7/26/2018,3920,3940,3890,3930,3511.723633,55761900
7/27/2018,3910,3950,3890,3940,3520.659668,52506800
7/30/2018,3890,3950,3890,3910,3493.852295,49045100
7/31/2018,3830,3830,3550,3570,3190.039307,339081700
8/1/2018,3570,3600,3500,3550,3172.167725,190720900
8/2/2018,3550,3590,3450,3500,3127.489258,171276100
8/3/2018,3480,3490,3430,3460,3091.746582,224005400
8/6/2018,3480,3670,3480,3650,3261.524658,231846400
8/7/2018,3650,3670,3570,3580,3198.974854,111024900
8/8/2018,3600,3600,3520,3550,3172.167725,109077400
8/9/2018,3520,3550,3490,3490,3118.553711,110452900
8/10/2018,3510,3540,3480,3500,3127.489258,79851700
8/13/2018,3440,3450,3360,3370,3011.325684,106124800
8/14/2018,3360,3440,3330,3350,2993.454102,108189200
8/15/2018,3350,3450,3310,3430,3064.939697,95526000
8/16/2018,3390,3430,3350,3350,2993.454102,112653900
8/17/2018,3350,3350,3350,3350,2993.454102,0
8/20/2018,3420,3450,3370,3390,3029.197021,163133800
8/21/2018,3400,3440,3350,3350,2993.454102,126746000
8/22/2018,3350,3350,3350,3350,2993.454102,0
8/23/2018,3390,3390,3290,3300,2948.775635,209401300
8/24/2018,3290,3340,3270,3290,2939.840088,103476200
8/27/2018,3330,3480,3310,3460,3091.746582,142917000
8/28/2018,3480,3600,3480,3580,3198.974854,224122500
8/29/2018,3560,3610,3520,3580,3198.974854,126710100
8/30/2018,3580,3590,3510,3510,3136.425049,80352300
8/31/2018,3500,3520,3460,3490,3118.553711,109920300
9/3/2018,3520,3550,3480,3490,3118.553711,46014400
9/4/2018,3500,3510,3410,3420,3056.003906,77620800
9/5/2018,3400,3400,3250,3270,2921.968994,183864900
9/6/2018,3250,3380,3250,3360,3002.389893,172294300
9/7/2018,3360,3390,3320,3390,3029.197021,99447200
9/10/2018,3380,3400,3350,3380,3020.26123,48741600
9/11/2018,3380,3380,3380,3380,3020.26123,0
